SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
HF0409-001,ZoomX Streakfly 'Bowerman Track Club',42.68,25.0,170,235,2024,https://www.nike.com/t/streakfly-btc-road-racing-shoes-8rTxtR/HF0409-001,https://www.goat.com/search?query=HF0409-001
FV6148-001,Huarache 9 Elite Mid LAX SE 'Football Grey Black',41.61,40.0,105,162,2023,https://www.nike.com/t/huarache-9-elite-tf-lax-se-lacrosse-shoes-HzkQZG/FV6148-001,https://www.goat.com/search?query=FV6148-001
FV6148-001,Huarache 9 Elite Mid LAX SE 'Football Grey Black',41.61,40.0,105,162,2023,https://www.nike.com/t/huarache-9-elite-tf-lax-se-lacrosse-shoes-HzkQZG/FV6148-001,https://www.goat.com/search?query=FV6148-001
FD0090-100,Huarache 9 Varsity LAX 'White Metallic Vivid Gold',41.22,46.0,90,145,2023,https://www.nike.com/t/huarache-9-varsity-lax-lacrosse-cleats-Z0tsjC/FD0090-100,https://www.goat.com/search?query=FD0090-100
FQ8726-259,Woodside 2 'Cacao Wow',40.19,33.0,120,177,2023,https://www.nike.com/t/woodside-2-mens-boots-RmRXZm/FQ8726-259,https://www.goat.com/search?query=FQ8726-259
FQ8726-259,Woodside 2 'Cacao Wow',40.19,33.0,120,177,2023,https://www.nike.com/t/woodside-2-mens-boots-RmRXZm/FQ8726-259,https://www.goat.com/search?query=FQ8726-259
DV3278-600,Wmns NikeCourt Zoom Lite 3 'Pink Bloom Adobe',40.11,48.0,82.97,136,2023,https://www.nike.com/t/nikecourt-zoom-pro-mens-hard-court-tennis-shoes-R4HzXz/DV3278-600,https://www.goat.com/search?query=DV3278-600
DV3278-600,Wmns NikeCourt Zoom Lite 3 'Pink Bloom Adobe',40.11,48.0,82.97,136,2023,https://www.nike.com/t/nikecourt-zoom-pro-mens-hard-court-tennis-shoes-R4HzXz/DV3278-600,https://www.goat.com/search?query=DV3278-600
DD0517-002,NFL x Offcourt Slide 'Indianapolis Colts 2024',39.64,99.0,40,88,2024,https://www.nike.com/t/offcourt-indianapolis-colts-slide-ZBFDPQ/DD0517-002,https://www.goat.com/search?query=DD0517-002
DD0546-002,NFL x Offcourt Slide 'Baltimore Ravens 2024',39.64,99.0,40,88,2024,https://www.nike.com/t/offcourt-baltimore-ravens-slide-kvHT0x/DD0546-002,https://www.goat.com/search?query=DD0546-002
DD0517-002,NFL x Offcourt Slide 'Indianapolis Colts 2024',39.64,99.0,40,88,2024,https://www.nike.com/t/offcourt-indianapolis-colts-slide-ZBFDPQ/DD0517-002,https://www.goat.com/search?query=DD0517-002
DD0546-002,NFL x Offcourt Slide 'Baltimore Ravens 2024',39.64,99.0,40,88,2024,https://www.nike.com/t/offcourt-baltimore-ravens-slide-kvHT0x/DD0546-002,https://www.goat.com/search?query=DD0546-002
DD0512-002,NFL x Offcourt Slide 'Cleveland Browns 2023',39.64,99.0,40,88,2023,https://www.nike.com/t/offcourt-cleveland-browns-slide-5n9JGH/DD0512-002,https://www.goat.com/search?query=DD0512-002
DR2695-002,Terra Kiger 9 'Black Light Photo Blue Track Red',39.46,49.0,80,132,,https://www.nike.com/t/run-swift-3-mens-road-running-shoes-KtXxs0/DR2695-002,https://www.goat.com/search?query=DR2695-002
FJ2585-001,Phantom Luna 2 Pro FG 'Shadow Pack',38.94,41.0,95,148,2024,https://www.nike.com/t/phantom-luna-2-academy-ag-high-top-soccer-cleats-qrGnLq/FJ2585-001,https://www.goat.com/search?query=FJ2585-001
